x,y
16.11111111,14.47908462
15.83333333,14.35321093
15.83333333,14.41929218
15.83333333,14.71280578
16.11111111,15.23375172
16.38888889,15.65853766
16.94444444,16.04739136
17.22222222,16.40681274
17.5,16.74699227
17.77777778,17.06370548
18.05555556,17.36091431
18.33333333,17.63944243
18.61111111,17.9059991
18.88888889,18.14182931
18.88888889,18.33921265
19.16666667,18.45362682
19.16666667,18.51856073
19.16666667,18.56884967
19.44444444,18.58570214
19.16666667,18.58740896
19.16666667,18.51330129
19.16666667,18.36337914
19.16666667,17.8449256
18.61111111,17.26745046
18.05555556,16.72569833
17.5,16.163696
16.94444444,15.58186328
16.38888889,14.9618326
15.83333333,14.33302043
15.27777778,13.72586312
14.72222222,13.16801796
14.16666667,12.60431387
13.61111111,12.02735503
13.05555556,11.38643722
12.5,10.78261689
11.66666667,10.20018265
11.11111111,9.620361746
10.55555556,9.036962791
10,8.460284691
9.444444444,7.871509592
8.888888889,7.281098649
8.333333333,6.689269691
7.777777778,6.098816156
7.222222222,5.511013403
6.666666667,4.916503117
5.833333333,4.311223904
5.277777778,3.695304438
4.722222222,3.063532823
4.166666667,2.449750504
3.611111111,1.846220687
3.055555556,1.241269454
2.5,0.633925801
1.944444444,0.053416407
1.388888889,0.237300593
0.833333333,0.416731511
0.833333333,0.676603538
0.555555556,1.036133679
0.277777778,1.276883971
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.555555556,0.548624284
1.111111111,1.531913727
1.666666667,2.581124605
2.777777778,3.647505429
3.888888889,4.725921811
5,5.800717796
6.111111111,6.650840543
7.222222222,6.898543965
7.777777778,6.86516124
7.777777778,6.795202726
7.777777778,6.697569388
7.777777778,6.556952476
7.777777778,6.233501692
7.5,5.881658812
7.222222222,5.51375534
6.944444444,5.153930743
6.666666667,4.792254396
